Compound_ID,Name,ChineseName,IonMode,Formula,MolecularWeight,m/z,MassError,Adduct,RT (min),Score,Level,Column,ClassI,ClassI_(Chinese),ClassII,ClassII_(Chinese),ClassIII,ClassIII_(Chinese),CAS,HMDB_ID,SuperClass(HMDB),Class(HMDB),SubClass(HMDB),Other_name(KEGG_name),KEGG,KEGG_MapID,Lipidmaps_ID,CATEGORY(Lipidmaps),MAIN_CLASS(Lipidmaps),SUB_CLASS(Lipidmaps),PubChemID,SMILES,InChIKey,PGF1,PGF2,PGF3,PGFM1,PGFM2,PGFM3,HSF1,HSF2,HSF3,HSM1,HSM2,HSM3,LSF1,LSF2,LSF3,LSM1,LSM2,LSM3,YJF1,YJF2,YJF3,YJM1,YJM2,YJM3,SJF1,SJF2,SJF3,SJM1,SJM2,SJM3,SHTF1,SHTF2,SHTF3,SHTM1,SHTM2,SHTM3,XSF1,XSF2,XSF3,XSM1,XSM2,XSM3,YSF1,YSF2,YSF3,YSM1,YSM2,YSM3,PG.aver,HS.aver,LS.aver,YJ.aver,SJ.aver,SHT.aver,XS.aver,YS.aver,P-value
Com_1110_pos,4'-Methoxypuerarin,4'-O-甲氧基葛根素,P,C22H22O9,430.12639,453.11479,1.76347,[M+Na]+,6.084,0.58,1,C18,Organic oxygen compounds,有机氧化合物,Organooxygen compounds,有机氧化合物,Carbohydrates and carbohydrate conjugates,碳水化合物和碳水化合物结合物,92117-94-7,_,_,_,_,_,_,_,LMPK12050010,Polyketides [PK],Flavonoids [PK12],Isoflavonoids [PK1205],_,COC1=CC=C(C=C1)C2=COC3=C(C2=O)C=CC(=C3C4C(C(C(C(O4)CO)O)O)O)O,MLAWAIHHYWTKCV-IQHUIRGYSA-N,1875609.07,177906.9141,73298.97242,60808.56645,675886.2521,560031.6128,4118290.5,1219892.913,841271.3502,250598.1218,2656907.495,2888649.824,1801786.985,5719955.67,1724377.519,3625229.404,21430616.41,2477990.602,18683643.15,3361951.629,4428315.868,5422199.884,94271400.51,502948.3036,40209.6476,263222.3885,769986.1064,1126648.795,7747046.843,180919.8188,1944275.2,2150032.244,10868101.08,20636078.24,2892956.435,1681552.461,1561044.45,10779901.89,4537841.199,1438705.317,4836577.045,458796.7365,789750.3835,3698568.739,7728697.482,1928407.351,765065.9795,1084319.48,570590.2313,1995935.034,6129992.765,21111743.22,1688005.6,6695499.277,3935477.773,2665801.569,0.0015466
Com_742_pos,D-erythro-Sphingosine,D-鞘氨醇,P,C18H37NO2,299.28243,322.27054,3.38484,[M+Na]+,8.217,0.61,1,C18,Organic nitrogen compounds,有机氮化合物,Organonitrogen compounds,有机氮化合物,Amines,胺类,2673-72-5,HMDB0000252,Organic nitrogen compounds,Organonitrogen compounds,Amines,Sphingosine; Sphingenine; Sphingoid; Sphing-4-enine,C00319,map00600;map01100;map04071;map04210;map04217,LMSP01010001,Sphingolipids [SP],Sphingoid bases [SP01],Sphing-4-enines (Sphingosines) [SP0101],_,CCCCCCCCCCCCCC=CC(C(CO)N)O,WWUZIQQURGPMPG-KRWOKUGFSA-N,45555335.02,48344197.21,37281665.09,38703891,38989519.39,37170493.18,36690445.41,52820524.97,66356070.18,52670762.81,42655261.09,44997745.71,53015221.76,53384256.54,55778398.89,55900969.17,51963542.14,43793629.78,57927572.94,51171392.93,52146978.04,60616995.57,45803247.88,56448056.62,34724553.83,49713904.71,38403833.69,34732248.12,43783660.47,53957253.83,41205370.59,37663944.97,41103324.66,47799634.4,55171493.42,53445048.69,64000942.49,47286738.37,43122215.63,62280492.08,36520658.96,37721998.18,52055601.91,59509237.19,49313978.66,48964057.48,50951010.47,41603598.41,41007516.82,49365135.03,52306003.05,54019040.66,42552575.77,46064802.79,48488840.95,50399580.69,0.047864
Com_1077_pos,Kaempferol-7-O-rhamnoside,山奈酚-7-O-鼠李糖苷,P,C21H20O10,432.10565,433.11244,1.18809,[M+H]+,5.893,1,1,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Flavonoids,黄酮类化合物,Flavonoid glycosides,黄酮糖苷,20196-89-8,_,_,_,_,_,_,_,LMPK12111851,Polyketides [PK],Flavonoids [PK12],Flavones and Flavonols [PK1211],_,CC1C(C(C(C(O1)OC2=CC(=C3C(=C2)OC(=C(C3=O)O)C4=CC=C(C=C4)O)O)O)O)O,HQNOUCSPWAGQND-GKLNBGJFSA-N,6229950.186,1804705.495,4829975.017,136615.5504,285573.9947,75610.50645,197136348,7214909.211,8615545.857,638550.0765,11525565.95,24469671.27,599884.271,2542242.573,1353524.91,402202.8967,80134.56855,1432134.679,5300643.569,811803.7347,1886307.62,1486853.641,4127121.074,40942.52203,62382697.22,237501360.5,743692512.8,179363419.6,337286883.1,116039816.6,6794401.774,8562532.303,5002163.614,33338558.03,1747437.878,4115183.069,231556.525,3345347.924,845322.5284,155608.0108,329195.4256,209910.5833,2497312.464,3832998.02,9896682.408,2994068.481,1153822.458,1379164.538,2227071.792,41600098.4,1068353.983,2275612.027,279377781.6,9926712.778,852823.4994,3625674.728,1.31E-08
Com_986_pos,Ponicidin,冬凌草乙素,P,C20H26O6,362.17294,385.16326,2.89873,[M+Na]+,6.387,0.51,1,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Diterpenoids,二萜类,52617-37-5,HMDB0242347,Lipids and lipid-like molecules,Prenol lipids,Diterpenoids,_,_,_,_,_,_,_,14564539,CC1(C)CCC(O)C23C4OC5C6CCC2C5(C(=O)C6=C)C(O)(O4)C(O)C13,WHRDRHNMTIXZNY-UHFFFAOYSA-N,3097564.79,2187793.878,1032213.38,1430691.649,487947.2743,867140.3619,835572.7956,1893843.778,3069291.914,877320.3454,1991938.58,610258.299,3789185.602,1152483.578,2913152.048,1012546.612,1259197.837,1446334.655,2396240.723,646163.1747,2234288.1,2920189.854,1398328.499,944046.6703,1106210.916,3826733.239,1264295.552,1162805.915,1938837.648,1384436.581,804593.4636,1532397.573,1993369.169,659261.8158,1293959.085,708569.2099,2175245.556,2635787.947,711848.1985,2589001.846,567217.8426,195406.603,954965.1117,807477.7683,909133.8293,863112.4772,1095960.115,863912.4073,1517225.222,1546370.952,1928816.722,1756542.837,1780553.309,1165358.386,1479084.666,915760.2848,0.58288
Com_472_pos,Tectochrysin,柚木柯因,P,C16H12O4,268.07356,269.08,3.21211,[M+H]+,6.083,0.74,1,C18,Phenylpropanoids and polyketides,苯丙素类和聚酮类,Flavonoids,黄酮类化合物,O-methylated flavonoids,O-甲基化黄酮类化合物,520-28-5,_,_,_,_,Tectochrysin; Techtochrysin,C11621,_,LMPK12110190,Polyketides [PK],Flavonoids [PK12],Flavones and Flavonols [PK1211],5281954,COC1=CC(=C2C(=C1)OC(=CC2=O)C3=CC=CC=C3)O,IRZVHDLBAYNPCT-UHFFFAOYSA-N,1954396.678,53227.24635,411399.9028,47365.39593,1312495.379,1303670.097,3182993.446,1723313.935,953007.9223,354020.5688,2969510.147,1976743.742,705136.2584,3931679.244,2330110.748,1971048.379,11116166,2768131.33,91968202.05,5054143.117,5735912.382,5914554.907,144865102.6,2151171.51,76124.63099,166147.3352,544325.7392,603679.1115,5565878.07,125945.3288,2560506.045,2474290.481,11027022.11,13456550.36,2520893.528,558897.4074,1685041.201,17232469.56,4041908.555,1489978.603,4062985.8,3531454.435,1056353.54,9501281.95,105267028.7,3265744.717,3378279.842,3681133.65,847092.4498,1859931.627,3803711.993,42614847.76,1180350.036,5433026.656,5340639.693,21024970.39,0.00027724
Com_1347_pos,Soyasaponin Ba,大豆皂苷Ba,P,C48H78O19,958.51373,981.5011,1.8672,[M+Na]+,6.937,0.5,1,C18,Lipids and lipid-like molecules,脂质和类脂分子,Prenol lipids,异戊烯醇脂,Terpene glycosides,萜烯糖苷,114590-20-4,HMDB0039517,Lipids and lipid-like molecules,Prenol lipids,Terpene glycosides,_,_,_,_,_,_,_,15608234,CC1(C)CC(O)C2(C)CCC3(C)C(=CCC4C5(C)CCC(OC6OC(C(O)C(O)C6OC6OC(CO)C(O)C(O)C6OC6OC(CO)C(O)C(O)C6O)C(O)=O)C(C)(CO)C5CCC34C)C2C1,WFRQIKSNAYYUJZ-UHFFFAOYSA-N,587764.5809,1856696.602,2450953.723,966698.6555,743134.9519,778079.2128,425331969.5,101644683.4,6885387.404,450483.7845,5020430.192,12208366.12,2553666.753,277464.8385,374589.0571,1541103.442,147288.2746,556174.6306,1451870.682,325642.8679,3383541.93,495521.0885,454911.6125,818676.4281,1070417.326,769002.1634,2778277.856,1675066.922,339046.2461,1567032.67,1068162.849,157697.2077,121825.5677,82317403.72,341118.9997,1648587.788,406136.2932,101473.3657,113133.4945,398118.1937,1074510.202,1536459.11,645459.2471,717781.8093,176204.2974,65028.50854,121761.9327,163617.8552,1230554.621,91923553.4,908381.166,1155027.435,1366473.864,14275799.36,604971.7765,314975.6084,0.00099013
Com_173_pos,Ethyl pivaloylacetate,"4,4-二甲基-3-氧代戊酸乙酯",P,C9H16O3,172.10995,195.1008,8.44931,[M+Na]+,6.821,0.54,1,C18,Organic acids and derivatives,有机酸及其衍生物,Keto acids and derivatives,酮酸及其衍生物,Beta-keto acids and derivatives,β-酮酸及其衍生物,17094-34-7,_,_,_,_,_,_,_,_,_,_,_,_,CCOC(=O)CC(=O)C(C)(C)C,VUYNTIDSHCJIKF-UHFFFAOYSA-N,727058.1367,1204891.579,1147861.889,1145068.17,516174.0948,2049845.191,1060875.645,547426.756,1493090.77,1777466.596,1604493.839,1951899.026,1204670.793,665509.0055,944492.708,689158.4677,932297.4656,1891280.28,1451903.077,3017947.769,854016.8722,992318.9975,833683.6897,2156642.787,1106097.697,1101460.442,616219.1169,1042369.979,686984.3159,827556.9599,431662.3402,699678.5801,1327058.025,816105.5347,1760758.762,1465515.543,1864646.28,752357.7411,1065017.872,1650104.648,1280934.276,1325496.21,1248118.471,1005746.407,978122.0732,1288497.637,1091099.605,677524.938,1131816.51,1405875.439,1054568.12,1551085.532,896781.4184,1083463.131,1323092.838,1048184.855,0.50177
Com_694_pos,Lycoramine,石蒜胺,P,C17H23NO3,289.16779,312.15905,6.58822,[M+Na]+,5.289,0.51,1,C18,Alkaloids and derivatives,生物碱及其衍生物,Amaryllidaceae alkaloids,石蒜科生物碱,Galanthamine-type amaryllidaceae alkaloids,加兰他敏型石蒜科生物碱,21133-52-8,_,_,_,_,"Lycoramine; 1,2-Dihydrogalanthamine",C12233,_,_,_,_,_,_,CN1CCC23CCC(CC2OC4=C(C=CC(=C34)C1)OC)O,GJRMHIXYLGOZSE-JDFRZJQESA-N,158018403.7,5879656.381,14322424.38,23499551.36,14167501.28,70900622.32,21752638.79,7949401.099,16028174.68,71413772.52,29126650.38,19503023.72,12611807.41,8960052.666,6244587.892,9867599.079,44775909.43,22969530.37,45182429.68,28791516.05,10501763.31,123337162.6,13528799.84,134041198.4,6938454.318,12972478.05,8264562.668,6735105.05,5326226.008,8040191.658,11921719.4,14866656.19,27923697.71,27835156.29,16492489.2,22718519.44,9228486.9,19289528.55,10314849.56,26601798.14,7291195.11,25676860.79,13303101.47,20231179.03,22548624.07,50963832.25,20425440.52,22589036.16,47798026.57,27628943.53,17571581.14,59230478.32,8046169.625,20293039.7,16400453.17,25010202.25,0.029003
Com_951_pos,N-(3-Methoxybenzyl)Palmitamide,N-(3-甲氧基苄基)十六碳酰胺,P,C24H41NO2,375.31373,376.31748,9.43466,[M+H]+,9.684,0.72,1,C18,Benzenoids,苯类化合物,Phenol ethers,苯酚醚,Anisoles,苯甲醚类,847361-96-0,_,_,_,_,_,_,_,LMFA08020315,Fatty Acyls [FA],Fatty amides [FA08],N-acyl amines [FA0802],_,CCCCCCCCCCCCCCCC(=O)NCC1=CC(=CC=C1)OC,FIQGQTITXPTKIY-UHFFFAOYSA-N,43065883.45,26908920.67,18567517.15,29948937.65,47302821.64,35146706.02,55263291.56,31850148.95,15615600.47,36982860.85,38181312.15,54977560.22,40101846.22,33361787.74,21264319.97,33228085.88,31579374.47,53505825.37,19859923.28,59953050.69,26466527.88,34215845.58,32883365.07,28822722.42,30434957.24,36346372.62,14584436.98,26441904.82,18198566.42,26039622.48,30285340.09,10789951.94,29296941.11,34978395.49,25534702.32,22414399.74,19517538.23,37613302.96,23551239.2,26529133.04,37145086.55,61417791.89,37989011.13,39745398.86,39172501.72,39662320.6,37449981.65,42136682.33,33490131.1,38811795.7,35506873.28,33700239.15,25340976.76,25549955.12,34295681.98,39359316.05,0.21361
Com_800_pos,N-Vanillyldecanamide,癸酸香草酰胺,P,C18H29NO3,307.21474,330.20302,2.79699,[M+Na]+,6.276,0.57,1,C18,Benzenoids,苯类化合物,Phenols,酚类,Methoxyphenols,甲氧基酚类,31078-36-1,_,_,_,_,_,_,_,_,_,_,_,_,CCCCCCCCCC(=O)NCC1=CC(=C(C=C1)O)OC,QLHTWDQJPOTDMV-UHFFFAOYSA-N,7033910.619,12767608.53,6123520.843,4031700.584,6234796.851,3955129.867,3774919.631,9736497.282,18713428.05,3443852.768,6058697.287,4140545.198,13913136.61,18374971.05,10076267.49,9755957.397,11959979.74,6186188.493,18774371.8,5256709.095,9498096.036,18721599.89,9541983.562,5251641.696,10165615.55,11682775.11,11713932.52,7941641.109,8493211.504,15730820.65,9283039.462,7413810.902,9184919.242,6447861.212,9350274.937,7769176.99,11228313.83,10118892.46,15131525.6,9581909.895,8288657.527,8284099.941,3263569.849,15560213.18,7898444.952,11601755.71,5967613.776,6436670.944,6691111.215,7644656.702,11711083.46,11174067.01,10954666.07,8241513.791,10438899.88,8454711.401,0.12033
