OTU ID	PG1	PG2	PG3	PG4	PG5	PG6	HS1	HS2	HS3	HS4	HS5	HS6	LS1	LS2	LS3	LS4	LS5	LS6	YJ1	YJ2	YJ3	YJ4	YJ5	YJ6	SJ1	SJ2	SJ3	SJ4	SJ5	SJ6	SHT1	SHT2	SHT3	SHT4	SHT5	SHT6	XS1	XS2	XS3	XS4	XS5	XS6	YS1	YS2	YS3	YS4	YS5	YS6	taxonomy
ASV22	59	0	160	66	161	74	0	69	39	27	107	533	233	33	166	177	46	142	147	255	179	260	59	239	79	242	60	17	0	102	175	302	679	85	15	16	75	18	22	0	30	13	45	19	19	191	154	84	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Ochrobactrum; s__Ochrobactrum sp003176975
ASV23	149	0	282	672	521	59	109	0	0	339	758	0	0	0	0	0	0	0	0	0	0	211	0	0	230	0	118	0	0	59	0	0	0	0	0	0	0	0	0	0	0	127	45	0	629	0	302	1072	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sacchari
ASV24	80	0	103	168	167	228	129	0	0	0	108	97	83	0	90	158	0	92	102	150	135	118	0	163	77	114	0	200	272	192	203	101	207	146	70	115	137	0	200	0	193	201	122	0	136	192	155	204	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia sp000949135
ASV25	0	0	105	0	535	431	302	0	0	0	0	0	0	0	0	0	0	656	0	0	0	0	0	0	0	0	0	0	235	0	0	0	0	0	0	0	170	0	320	0	0	0	53	0	443	1203	860	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pandoraea; s__Pandoraea captiosa
ASV26	44	82	91	30	53	11	355	50	47	0	116	9	73	66	56	27	32	88	158	11	22	46	86	226	110	206	151	140	0	320	371	52	106	175	125	103	39	45	97	43	45	78	18	44	24	40	113	170	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium radiotolerans
ASV27	284	1304	507	0	0	0	0	0	0	0	0	0	0	0	0	0	0	291	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	173	0	115	0	711	0	0	149	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV28	8	0	0	0	0	0	0	0	0	14	0	0	23	0	9	8	13	0	0	0	0	0	1766	26	0	0	0	63	0	0	0	0	0	0	96	1684	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__Bdellovibrio bacteriovorus_E
ASV29	98	0	57	103	103	138	156	27	38	114	33	82	71	0	17	0	63	160	0	0	0	80	0	349	0	94	130	29	0	254	271	118	105	0	45	110	0	0	0	0	0	0	50	0	87	152	161	33	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium laiguense
ASV30	350	169	0	175	0	0	155	0	0	68	129	148	64	0	0	323	0	0	0	207	154	0	0	12	0	0	0	0	0	129	131	151	0	339	0	0	50	0	84	0	0	0	0	0	28	121	63	237	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Undibacterium; s__Undibacterium aquatile
ASV31	313	1091	382	0	0	0	67	0	0	0	0	0	0	0	0	0	0	309	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	259	0	0	0	458	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV32	0	0	0	32	27	52	86	0	0	0	101	0	89	28	44	83	11	65	0	102	110	0	65	34	0	302	0	151	0	80	121	0	112	150	0	81	94	17	94	20	82	165	24	20	50	0	44	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium aquaticum
ASV33	99	0	258	55	21	0	98	58	23	0	0	0	0	0	0	0	0	61	122	0	0	96	109	26	258	0	118	0	0	39	0	0	0	0	0	19	422	0	0	0	408	0	91	0	98	85	37	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Enterobacter; s__Enterobacter asburiae_D
ASV34	79	0	57	47	93	0	0	0	0	52	174	149	27	0	60	0	0	118	0	50	65	67	48	24	17	0	41	0	0	222	284	88	9	0	52	0	73	0	52	0	32	50	87	0	111	60	54	132	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp021088345
ASV35	11	16	11	98	561	0	0	0	0	0	0	0	7	0	0	254	0	60	6	135	107	10	55	0	82	0	310	7	6	0	0	0	0	273	0	11	0	0	0	0	0	0	0	0	0	36	151	228	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_D; f__Amphibacillaceae; g__Amphibacillus; s__Amphibacillus sp018919165
ASV36	109	12	0	25	49	56	0	75	48	0	0	0	71	216	32	0	189	41	43	162	144	0	61	35	0	18	0	7	0	12	2	0	308	12	0	0	226	59	0	63	178	0	26	55	0	0	0	0	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Ligilactobacillus; s__Ligilactobacillus murinus
ASV37	0	0	0	0	0	0	114	0	0	0	0	139	0	22	27	0	30	72	0	0	0	35	217	0	133	54	0	0	6	252	268	0	6	5	169	76	21	0	117	0	2	91	0	0	149	179	19	42	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__UBA932; g__Cryptobacteroides; s__Cryptobacteroides sp900771005
ASV38	0	4	38	3	0	0	0	0	0	0	0	0	34	40	61	44	4	47	586	73	45	0	68	9	44	3	39	351	0	21	26	358	0	7	40	145	0	0	32	0	0	30	0	0	0	0	0	24	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Moraxellaceae; g__Acinetobacter; s__Acinetobacter sp000632455
ASV39	0	0	0	0	11	5	177	329	260	181	0	0	0	0	0	0	46	0	248	91	90	0	0	14	0	0	0	0	0	0	5	363	0	189	0	0	0	0	0	0	0	0	23	0	21	52	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Shinella; s__Shinella sp020535545
ASV40	0	67	16	0	71	0	126	0	0	0	0	100	0	26	28	0	0	34	52	313	258	0	33	0	159	269	0	0	0	0	0	0	0	0	40	173	0	0	151	0	21	181	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Pseudoduganella; s__Pseudoduganella sp001427305
ASV41	15	0	0	0	36	0	25	39	0	0	0	0	125	0	0	86	42	40	0	0	0	0	380	20	0	28	46	323	33	0	0	0	0	0	220	492	0	0	28	18	42	43	29	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Shinella; s__Shinella sp020535545
ASV42	5	0	0	0	0	0	0	0	0	0	0	0	15	7	5	0	0	89	3	0	7	0	198	0	6	0	387	630	0	0	6	0	3	5	314	281	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Rhodocyclaceae; g__Azonexus; s__Azonexus sp008711155
ASV43	37	0	135	0	135	0	0	0	0	0	0	81	89	0	0	0	0	0	240	0	0	48	0	0	0	178	0	0	0	80	95	103	0	0	0	0	20	0	218	0	0	148	0	0	49	0	150	101	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Undibacterium; s__Undibacterium curvum
ASV44	0	0	0	0	0	0	0	0	0	0	0	0	298	64	364	189	0	0	132	0	99	0	387	0	0	0	0	273	0	0	0	0	71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sacchari
ASV45	40	9	12	71	0	20	0	50	47	28	30	41	67	26	0	0	0	14	29	111	104	81	81	6	0	65	73	0	0	0	0	86	4	36	91	0	66	0	7	0	55	0	153	0	117	49	124	40	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Phyllobacterium; s__Phyllobacterium myrsinacearum
ASV46	111	0	114	0	31	42	0	130	156	77	0	0	0	134	0	0	59	50	66	107	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	103	0	0	0	115	80	98	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__Stutzerimonas stutzeri_T
ASV47	8	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	11	0	576	14	11	15	0	0	0	0	16	13	0	0	0	899	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia; o__Bdellovibrionales; f__Bdellovibrionaceae; g__Bdellovibrio; s__Bdellovibrio bacteriovorus_E
ASV48	0	0	0	0	0	0	0	0	177	94	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	0	0	0	0	0	279	0	283	0	0	142	326	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Chromatiales; f__Sedimenticolaceae; g__MONJU; s__MONJU sp019356535
ASV49	0	0	170	106	129	0	0	99	227	128	0	0	0	104	0	0	72	226	0	0	0	0	87	0	0	79	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__Stutzerimonas stutzeri_T
ASV50	0	0	0	0	69	0	0	40	20	0	50	0	75	64	157	37	0	0	0	63	113	0	0	25	0	0	0	134	0	0	0	167	0	0	138	0	170	0	0	0	99	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae; g__Klebsiella; s__Klebsiella pneumoniae
ASV51	166	116	17	32	12	0	0	0	0	0	0	0	64	11	46	0	9	48	13	47	35	5	25	70	4	158	80	0	6	0	10	54	0	0	0	0	126	0	61	0	121	62	15	0	0	0	0	0	d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia; o__Cyanobacteriales; f__Spirulinaceae; g__Spirulina_A; s__Spirulina_A subsalsa_A
ASV52	7	9	3	0	29	0	0	0	0	0	64	110	0	5	0	0	0	12	2	91	65	58	0	77	280	195	0	0	0	0	0	0	179	0	0	0	3	0	0	0	0	0	0	0	250	11	19	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacterium; s__Flavobacterium lindanitolerans
ASV53	0	0	78	0	28	0	59	0	0	6	0	0	85	0	10	0	0	50	48	0	18	0	0	34	48	17	44	0	0	178	117	125	0	0	0	0	29	12	117	8	35	129	2	14	0	0	52	0	d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Sphingobacteriales; f__Sphingobacteriaceae; g__Sphingobacterium; s__Sphingobacterium arenae
ASV54	0	0	80	45	67	54	80	0	0	0	233	191	0	0	0	39	0	111	0	0	0	0	45	0	0	0	0	0	0	110	162	0	0	0	0	0	77	0	0	0	0	0	22	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Undibacterium; s__Undibacterium luofuense
ASV55	510	0	0	0	0	0	153	0	0	0	0	0	0	0	0	0	0	135	0	0	0	0	0	0	0	0	202	0	0	0	0	0	0	0	0	0	116	0	54	0	0	71	0	0	0	0	97	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium soli
ASV56	338	0	71	105	0	0	208	0	0	0	0	0	0	0	0	0	0	164	0	0	0	0	0	0	0	0	170	0	0	0	0	0	0	0	0	0	80	18	0	0	0	0	160	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium soli
ASV57	0	0	0	0	0	0	0	0	0	0	0	0	249	221	617	0	0	148	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV58	0	0	44	115	63	0	37	0	0	0	0	61	0	0	0	68	64	92	47	0	0	44	0	25	0	0	0	0	86	142	0	0	15	0	47	0	0	0	0	0	148	65	0	0	32	0	49	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Burkholderia; s__Burkholderia sp000949135
ASV59	0	0	0	0	0	0	0	55	0	0	0	0	0	63	0	59	200	28	0	0	0	0	24	0	0	0	0	88	95	40	0	0	0	5	99	0	0	83	0	140	37	27	66	97	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales; f__Rhodanobacteraceae; g__Rhodanobacter; s__Rhodanobacter sp002001125
ASV60	0	0	0	0	0	0	0	0	0	78	132	0	0	0	0	95	0	0	0	0	97	0	0	74	0	0	0	0	0	0	93	98	143	150	0	0	0	0	111	0	0	107	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sp002831585
ASV61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	973	37	143	d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerosacchariphilus; s__Anaerosacchariphilus polymeriproducens
ASV62	0	0	0	0	0	0	0	0	0	0	0	0	218	204	501	0	0	168	91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Aureimonas_A; s__Aureimonas_A sp001425485
ASV63	0	7	142	0	0	0	0	0	0	0	0	0	0	4	0	71	0	46	0	0	0	0	0	4	0	155	0	92	0	146	144	0	0	0	0	0	100	0	0	0	88	0	14	0	112	0	5	0	d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__WQYP01; f__JAJZKY01; g__JAJZKY01; s__JAJZKY01 sp021803885
ASV64	0	0	0	0	0	0	0	213	190	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	183	0	250	0	0	0	273	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__Azotobacter chroococcum
ASV65	62	93	17	0	22	2	0	21	0	50	28	0	19	15	164	0	0	0	0	0	5	13	64	0	0	140	29	0	0	0	11	0	0	101	0	95	12	0	0	0	0	0	0	0	0	64	0	103	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Brevundimonas; s__Brevundimonas mediterranea_A
ASV66	134	0	61	0	59	21	97	0	0	0	0	0	10	51	75	28	54	28	25	0	0	0	9	11	0	4	0	0	0	81	113	0	0	69	0	0	44	14	0	16	53	0	10	0	5	0	16	0	d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__Lactobacillus helsingborgensis
ASV67	93	0	0	0	0	0	0	306	299	347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Stutzerimonas; s__Stutzerimonas stutzeri_T
ASV68	0	0	0	0	0	110	0	316	230	41	0	0	0	14	0	0	128	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	61	0	0	25	65	0	0	0	0	d__Bacteria; p__Bacillota; c__Bacilli; o__Bacillales_D; f__Amphibacillaceae; g__Amphibacillus; s__Amphibacillus sp018919165
ASV69	0	0	0	0	0	0	0	0	0	0	0	0	367	0	0	0	0	321	47	0	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales; f__Burkholderiaceae; g__Trinickia; s__Trinickia symbiotica
ASV70	0	0	66	117	156	0	0	0	0	43	170	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	80	155	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Shinella; s__Shinella kummerowiae
ASV71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	89	0	0	0	184	62	131	100	175	154	84	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Bradyrhizobium; s__Bradyrhizobium sacchari
ASV72	0	0	0	0	0	0	0	149	171	132	0	0	0	126	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	172	0	125	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales; f__Pseudomonadaceae; g__Azotobacter; s__Azotobacter chroococcum
ASV73	0	0	0	0	0	0	0	0	0	0	0	0	338	0	188	210	0	0	186	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales; f__Beijerinckiaceae; g__Methylobacterium; s__Methylobacterium soli
