"s.Apple"	"s.Apricot"	"s.Elm"	"s.Filbert"	"s.Locust"	"s.Rose"	"s.Seabuckthorn"	"s.Willow"	"index"	"stat"	"padj"	"GenusID"	"Domain"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"tag"	"baseMean"
0	0	1	1	1	0	0	0	73	0.54881952680076	0.00799200799200799	"Genus32"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__JAIMAR01"	"None"	1.94703694873638e-06
0	0	0	0	0	1	0	0	6	0.450796098931438	0.038961038961039	"Genus35"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__Palsa-187"	"Rose"	6.19715357943129e-07
0	1	0	1	0	0	0	0	17	0.527267583607367	0.018981018981019	"Genus36"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__PNKE01"	"None"	1.91973122129194e-06
0	1	1	0	1	1	0	1	205	0.537263996844301	0.016983016983017	"Genus37"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Bryobacterales"	"f__Bryobacteraceae"	"g__PSRJ01"	"None"	2.14344241806168e-05
0	1	1	1	1	1	0	0	198	0.502320424369253	0.02997002997003	"Genus43"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__Acidobacteriaceae"	"g__Terriglobus"	"None"	1.783421121741e-06
0	1	1	0	1	1	0	1	205	0.523922705393171	0.025974025974026	"Genus44"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__Gp1-AA112"	"g__Gp1-AA112"	"None"	1.15449505450432e-05
0	1	0	0	0	0	0	0	2	0.549975102383438	0.00999000999000999	"Genus45"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__Gp1-AA117"	"g__Angelobacter"	"Apricot"	3.64767342845156e-06
0	0	0	0	0	1	0	0	6	0.704326142572876	0.000999000999000999	"Genus46"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__Koribacteraceae"	"g__Bog-257"	"Rose"	1.07057474198235e-06
0	1	0	0	1	0	0	0	18	0.482805710149553	0.032967032967033	"Genus47"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__Koribacteraceae"	"g__TOLSYN"	"None"	2.89402160709023e-06
0	1	0	0	1	1	0	0	67	0.636108252907221	0.001998001998002	"Genus48"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__QIAW01"	"g__QIAW01"	"None"	1.30107160137313e-05
0	1	0	0	0	0	0	0	2	0.510676564094987	0.01998001998002	"Genus49"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__SbA1"	"g__Bog-209"	"Apricot"	3.43493265154934e-06
0	1	0	1	0	1	0	0	64	0.48264588620302	0.048951048951049	"Genus52"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__SbA1"	"g__KAN-5"	"None"	7.04965455556977e-06
0	0	0	0	1	0	0	0	5	0.56885532000886	0.004995004995005	"Genus53"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__SbA1"	"g__Sulfotelmatobacter"	"Locust"	6.1547715724015e-06
0	0	0	0	1	0	0	0	5	0.623520280046661	0.001998001998002	"Genus54"	"d__Bacteria"	"p__Acidobacteriota"	"c__Terriglobia"	"o__Terriglobales"	"f__SCQP01"	"g__JAKAZV01"	"Locust"	1.54673021715131e-06
0	0	0	0	0	1	0	1	35	0.492880068621264	0.023976023976024	"Genus58"	"d__Bacteria"	"p__Acidobacteriota"	"c__Thermoanaerobaculia"	"o__UBA5704"	"f__UBA5704"	"g__UBA5704"	"None"	0.000115835055944529
1	0	0	0	0	0	1	0	14	0.638830632102455	0.000999000999000999	"Genus60"	"d__Bacteria"	"p__Acidobacteriota"	"c__UBA6911"	"o__RPQK01"	"f__RPQK01"	"g__JACQSY01"	"None"	3.14491360837457e-06
0	0	0	0	1	0	0	0	5	0.596798888243332	0.004995004995005	"Genus64"	"d__Bacteria"	"p__Acidobacteriota"	"c__Vicinamibacteria"	"o__Vicinamibacterales"	"f__UBA2999"	"g__WHSN01"	"Locust"	6.47337651325717e-06
0	0	0	0	0	0	1	0	7	0.515660277871515	0.010989010989011	"Genus65"	"d__Bacteria"	"p__Actinomycetota"	"c__Acidimicrobiia"	"o__Acidimicrobiales"	"f__Acidimicrobiaceae"	"g__Acidithrix"	"Seabuckthorn"	4.42094993282309e-07
0	1	1	0	1	1	0	1	205	0.546777379986693	0.012987012987013	"Genus67"	"d__Bacteria"	"p__Actinomycetota"	"c__Acidimicrobiia"	"o__UBA5794"	"f__ZC4RG35"	"g__ZC4RG35"	"None"	1.09160379820498e-05
1	0	0	0	0	1	0	1	56	0.634993459298776	0.000999000999000999	"Genus70"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Beutenbergiaceae"	"g__Ruania"	"None"	4.03314054249432e-06
1	1	0	1	0	1	1	0	176	0.557022327653172	0.00699300699300699	"Genus71"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Bifidobacteriaceae"	"g__Bifidobacterium"	"None"	1.51838771241956e-05
0	0	0	0	0	0	1	0	7	0.563939125725855	0.00599400599400599	"Genus72"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Bifidobacteriaceae"	"g__Scardovia"	"Seabuckthorn"	1.80790051001358e-06
0	1	0	0	0	1	0	0	19	0.684692314880376	0.000999000999000999	"Genus77"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Cellulomonadaceae"	"g__Sanguibacter"	"None"	4.49634176514859e-06
0	0	0	0	0	0	1	0	7	0.618574043762989	0.001998001998002	"Genus80"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Agromyces"	"Seabuckthorn"	1.07437003422729e-05
0	1	1	0	1	1	0	0	132	0.476377647917762	0.044955044955045	"Genus83"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Microbacteriaceae"	"g__Microbacterium"	"None"	1.65583298887923e-05
1	1	1	0	1	1	0	1	226	0.588942239978271	0.002997002997003	"Genus85"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Arthrobacter"	"None"	1.89948327654769e-05
0	0	0	1	0	0	1	0	29	0.535598870846204	0.00999000999000999	"Genus86"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Arthrobacter_G"	"None"	1.44057324066999e-06
0	0	0	0	1	0	0	1	33	0.529813843859833	0.011988011988012	"Genus88"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Nesterenkonia"	"None"	3.04550307364538e-05
0	1	0	1	0	0	0	0	17	0.545245062852516	0.00999000999000999	"Genus89"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__Micrococcaceae"	"g__Rothia"	"None"	2.42681208037946e-06
0	0	0	1	0	0	1	0	29	0.60825505341344	0.002997002997003	"Genus90"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Actinomycetales"	"f__WQXJ01"	"g__WQXJ01"	"None"	1.10967377161162e-06
0	1	0	1	0	1	0	1	142	0.502541224114728	0.020979020979021	"Genus91"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Jiangellales"	"f__Jiangellaceae"	"g__Jiangella"	"None"	6.83090098760949e-06
0	0	1	0	0	0	0	0	3	0.472008617048965	0.038961038961039	"Genus92"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Frankiaceae"	"g__Frankia"	"Elm"	3.18428326111684e-06
0	0	0	1	0	0	1	0	29	0.59719490071277	0.002997002997003	"Genus97"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Mycobacteriales"	"f__Micromonosporaceae"	"g__Stackebrandtia"	"None"	1.39693592253802e-06
0	0	0	0	1	0	0	0	5	0.657937129662546	0.001998001998002	"Genus105"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Nitriliruptorales"	"f__Nitriliruptoraceae"	"g__SKJO01"	"Locust"	5.46063851529315e-06
1	0	0	1	1	0	0	0	48	0.675535046135973	0.000999000999000999	"Genus109"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Streptomycetales"	"f__Streptomycetaceae"	"g__Kitasatospora"	"None"	2.45484846826789e-06
1	1	1	1	1	0	0	1	221	0.469591311128457	0.045954045954046	"Genus111"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Streptomycetales"	"f__Streptomycetaceae"	"g__Streptomyces"	"None"	4.61399490337397e-05
0	0	0	0	1	0	1	0	32	0.588987039403854	0.00599400599400599	"Genus113"	"d__Bacteria"	"p__Actinomycetota"	"c__Actinomycetia"	"o__Streptosporangiales"	"f__Streptosporangiaceae"	"g__Palsa-504"	"None"	1.82324707494059e-05
0	0	0	0	0	0	1	0	7	0.719322754881199	0.000999000999000999	"Genus115"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__CADAUA01"	"Seabuckthorn"	1.3362588535193e-06
0	0	0	0	0	0	1	0	7	0.629264227630984	0.001998001998002	"Genus116"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__Coprovicinus"	"Seabuckthorn"	1.28826583013514e-05
0	0	0	1	0	0	1	0	29	0.595454298071408	0.002997002997003	"Genus117"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__JALCUE01"	"None"	1.6733711889094e-06
0	0	0	0	0	0	1	0	7	0.540414966891106	0.00999000999000999	"Genus121"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__RUG440"	"Seabuckthorn"	2.21868459794786e-06
0	0	0	0	0	0	1	0	7	0.661528947651822	0.001998001998002	"Genus122"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Atopobiaceae"	"g__RUG721"	"Seabuckthorn"	2.20713303819393e-05
1	0	0	0	0	1	0	0	13	0.597169237570812	0.001998001998002	"Genus125"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Coriobacteriaceae"	"g__Collinsella"	"None"	3.52104426708954e-05
1	0	0	0	0	0	1	0	14	0.47576585814249	0.042957042957043	"Genus135"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__D16-34"	"None"	2.04847895936132e-05
0	0	0	0	0	0	1	0	7	0.729869375225597	0.000999000999000999	"Genus151"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__Senegalimassilia"	"Seabuckthorn"	2.43674092230059e-05
0	0	0	0	1	0	0	0	5	0.541322799222544	0.010989010989011	"Genus156"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__Eggerthellaceae"	"g__UMGS1519"	"Locust"	6.45031802442057e-06
0	0	0	0	0	0	1	0	7	0.51053653932755	0.021978021978022	"Genus161"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__UBA8131"	"g__UBA8131"	"Seabuckthorn"	6.2540647155152e-05
0	1	0	0	0	1	0	1	71	0.477062836266041	0.045954045954046	"Genus165"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__Coriobacteriales"	"f__UBA8131"	"g__WRGR01"	"None"	1.22011338644381e-05
0	0	0	0	1	0	0	0	5	0.544858346281136	0.014985014985015	"Genus178"	"d__Bacteria"	"p__Actinomycetota"	"c__Coriobacteriia"	"o__WRKU01"	"f__WRKU01"	"g__WRDL01"	"Locust"	3.04061503334379e-06
0	0	0	0	0	0	1	0	7	0.788963427371277	0.000999000999000999	"Genus186"	"d__Bacteria"	"p__Actinomycetota"	"c__Thermoleophilia"	"o__RBG-16-64-13"	"f__RBG-16-64-13"	"g__RBG-16-64-13"	"Seabuckthorn"	1.49622012184274e-05
0	1	0	0	0	1	0	1	71	0.489994839251901	0.027972027972028	"Genus190"	"d__Bacteria"	"p__Aerophobota"	"c__Aerophobia"	"o__Aerophobales"	"f__Aerophobaceae"	"g__Aerophobus"	"None"	7.43788937636694e-06
0	0	1	1	0	0	0	0	22	0.550601132037548	0.010989010989011	"Genus191"	"d__Bacteria"	"p__Aquificota"	"c__Aquificae"	"o__Aquificales"	"f__Aquificaceae"	"g__Aquifex"	"None"	4.78109882233608e-05
0	0	0	0	1	0	0	0	5	0.47940349828427	0.03996003996004	"Genus194"	"d__Bacteria"	"p__Aquificota"	"c__Aquificae"	"o__Hydrogenothermales"	"f__Hydrogenothermaceae"	"g__Persephonella"	"Locust"	6.21429312514086e-06
0	0	0	1	1	1	0	0	83	0.493015200512665	0.037962037962038	"Genus199"	"d__Bacteria"	"p__Armatimonadota"	"c__SYMT01"	"o__SYMT01"	"f__SYMT01"	"g__JAJFMS01"	"None"	9.95565567221825e-07
1	0	0	0	0	1	0	1	56	0.625798066689993	0.003996003996004	"Genus200"	"d__Bacteria"	"p__Armatimonadota"	"c__UBA10988"	"o__UBA10988"	"f__DTZQ01"	"g__DTZQ01"	"None"	4.94748988573599e-06
0	0	0	0	0	0	1	0	7	0.569112073458648	0.00699300699300699	"Genus204"	"d__Bacteria"	"p__Atribacterota"	"c__JS1"	"o__SB-45"	"f__34-128"	"g__CG2-30-33-13"	"Seabuckthorn"	1.10907618479338e-05
0	0	0	0	0	1	0	1	35	0.541139889367788	0.002997002997003	"Genus212"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Alicyclobacillales"	"f__Alicyclobacillaceae"	"g__Alicyclobacillus_B"	"None"	8.24176054170682e-05
0	0	0	0	0	1	0	1	35	0.510319782662746	0.022977022977023	"Genus213"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Alicyclobacillales"	"f__Alicyclobacillaceae"	"g__Alicyclobacillus_H"	"None"	3.24844663156177e-05
0	1	0	0	0	0	0	0	2	0.542043349382162	0.013986013986014	"Genus221"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Anoxybacillaceae"	"g__Anoxybacillus_C"	"Apricot"	1.78286321024645e-06
0	0	0	0	0	0	1	0	7	0.658613553961298	0.001998001998002	"Genus226"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae"	"g__Metabacillus"	"Seabuckthorn"	7.15582218672569e-05
0	0	0	0	0	0	1	0	7	0.639379323606229	0.001998001998002	"Genus229"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__Bacillus_AH"	"Seabuckthorn"	3.17268427077402e-05
1	1	0	0	0	1	0	1	106	0.582658332956393	0.002997002997003	"Genus230"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__DE0126"	"None"	1.21899866147638e-05
0	0	0	1	0	0	1	0	29	0.552952642826016	0.00799200799200799	"Genus231"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__Heyndrickxia"	"None"	3.45285539986996e-06
0	0	0	0	0	0	1	0	7	0.714554901850192	0.000999000999000999	"Genus232"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__Lederbergia"	"Seabuckthorn"	7.33357877493218e-06
0	1	0	0	0	0	0	0	2	0.480323985401353	0.042957042957043	"Genus233"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__Lederbergia_A"	"Apricot"	4.28320336165389e-06
1	0	0	0	1	0	0	0	12	0.51679902391864	0.01998001998002	"Genus234"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_C"	"g__Margalitia"	"None"	4.39976897866087e-06
0	0	0	0	0	0	1	0	7	0.537549061108932	0.00999000999000999	"Genus237"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_G"	"g__Bacillus_A"	"Seabuckthorn"	3.94004573961368e-05
0	0	0	0	0	0	1	0	7	0.508076727585352	0.022977022977023	"Genus238"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_G"	"g__Ectobacillus"	"Seabuckthorn"	1.09276770757223e-05
0	1	0	0	0	1	0	1	71	0.557097990960268	0.004995004995005	"Genus239"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_G"	"g__Gottfriedia"	"None"	7.55811294814307e-06
0	0	0	0	0	0	1	0	7	0.678389530347059	0.001998001998002	"Genus240"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_G"	"g__Priestia_D"	"Seabuckthorn"	1.23575001065653e-05
1	0	0	0	0	1	0	1	56	0.563834813484637	0.00599400599400599	"Genus243"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_H"	"g__Priestia"	"None"	5.51392332376726e-06
1	1	0	0	0	1	0	0	40	0.621478177119661	0.002997002997003	"Genus246"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_J"	"g__Schinkia"	"None"	1.8596899571702e-05
0	0	0	0	0	0	1	0	7	0.488575063508143	0.033966033966034	"Genus248"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Bacillaceae_L"	"g__Ferdinandcohnia"	"Seabuckthorn"	5.12031450147261e-05
0	0	0	0	0	0	1	0	7	0.656809216287748	0.001998001998002	"Genus250"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Caldibacillaceae"	"g__Caldibacillus"	"Seabuckthorn"	7.17357357026646e-06
0	0	0	0	0	1	0	1	35	0.493425926106218	0.026973026973027	"Genus252"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Domibacillaceae"	"g__Domibacillus"	"None"	4.12695395583899e-05
0	0	0	1	0	1	1	0	86	0.586428884709478	0.00599400599400599	"Genus254"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Domibacillaceae"	"g__Pseudobacillus"	"None"	3.70006150390296e-06
1	1	0	0	0	0	0	0	9	0.532588553283889	0.016983016983017	"Genus256"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-1321"	"g__Peribacillus"	"None"	1.4226052419769e-05
0	1	0	0	0	1	0	0	19	0.51017329065087	0.025974025974026	"Genus257"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-1321"	"g__Pradoshia"	"None"	4.15373814126514e-06
1	1	1	1	1	1	0	1	248	0.545025219346738	0.004995004995005	"Genus259"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-18226"	"g__Bacillus_BD"	"None"	2.16772649929472e-05
0	0	0	0	0	0	1	0	7	0.601102158856042	0.002997002997003	"Genus261"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-18226"	"g__Bacillus_BJ"	"Seabuckthorn"	1.70286955713137e-06
0	0	0	0	1	0	0	0	5	0.551228940891077	0.010989010989011	"Genus264"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-18226"	"g__Bacillus_D"	"Locust"	2.44562770417775e-06
1	1	0	0	0	1	1	1	182	0.502676979548849	0.01998001998002	"Genus268"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-18226"	"g__JAGKQJ01"	"None"	3.35504951659356e-05
0	0	0	1	0	1	0	0	28	0.485819066416176	0.046953046953047	"Genus272"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-18226"	"g__Pseudoneobacillus"	"None"	6.89273448588104e-07
0	0	0	0	0	0	1	0	7	0.569003895733326	0.004995004995005	"Genus274"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__DSM-25281"	"g__Falsibacillus"	"Seabuckthorn"	2.0710592992826e-06
0	0	0	0	1	0	0	0	5	0.564949939955697	0.00699300699300699	"Genus277"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Jeotgalibacillaceae"	"g__Jeotgalibacillus"	"Locust"	4.57409964955865e-06
0	0	0	0	0	0	1	0	7	0.52259622837385	0.014985014985015	"Genus279"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Lysinibacillus"	"Seabuckthorn"	4.6563718628815e-05
0	0	0	0	0	0	1	0	7	0.506668545601163	0.018981018981019	"Genus280"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Lysinibacillus_B"	"Seabuckthorn"	2.0975781307246e-05
0	1	0	1	0	0	0	0	17	0.575402374734813	0.00599400599400599	"Genus281"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Metasolibacillus"	"None"	2.16134679887085e-06
0	0	0	0	0	0	1	0	7	0.740731093948663	0.000999000999000999	"Genus282"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Paenisporosarcina"	"Seabuckthorn"	1.15358475463624e-05
0	0	0	0	0	1	1	1	92	0.506127781785257	0.023976023976024	"Genus283"	"d__Bacteria"	"p__Bacillota"	"c__Bacilli"	"o__Bacillales"	"f__Planococcaceae"	"g__Planococcus"	"None"	3.66507583947863e-05
