"Df"	"Sum Sq"	"Mean Sq"	"F value"	"Pr(>F)"	"Item"	"signif"	"Category3"	"keggID"	"Category1"	"Category2"
7	3.89658484044097e-08	5.56654977205853e-09	2.68407156985272	0.0263571557385142	"Plant      "	"*"	"Adipocytokine signaling pathway"	"Kegg5"	"Organismal Systems"	"Endocrine system"
1	2.62726204008693e-11	2.62726204008693e-11	0.0126680971824722	0.911088341006284	"sex        "	"ns"	"Adipocytokine signaling pathway"	"Kegg5"	"Organismal Systems"	"Endocrine system"
7	2.34103682562116e-08	3.34433832231594e-09	1.61256860685136	0.167612598831588	"Plant:sex  "	"ns"	"Adipocytokine signaling pathway"	"Kegg5"	"Organismal Systems"	"Endocrine system"
32	6.63654407380975e-08	2.07392002306555e-09	NA	NA	"Residuals  "	NA	"Adipocytokine signaling pathway"	"Kegg5"	"Organismal Systems"	"Endocrine system"
7	2.23665531821983e-08	3.19522188317119e-09	2.77713428041938	0.0224812487645654	"Plant      "	"*"	"African trypanosomiasis"	"Kegg6"	"Human Diseases"	"Infectious disease: parasitic"
1	9.4121331018145e-10	9.4121331018145e-10	0.818057663744369	0.372507986802386	"sex        "	"ns"	"African trypanosomiasis"	"Kegg6"	"Human Diseases"	"Infectious disease: parasitic"
7	1.68874557075676e-08	2.41249367250966e-09	2.09682429708825	0.0727277707625987	"Plant:sex  "	"ns"	"African trypanosomiasis"	"Kegg6"	"Human Diseases"	"Infectious disease: parasitic"
32	3.68174851977404e-08	1.15054641242939e-09	NA	NA	"Residuals  "	NA	"African trypanosomiasis"	"Kegg6"	"Human Diseases"	"Infectious disease: parasitic"
7	5.75570197328722e-07	8.22243139041032e-08	1.13356813615843	0.36728563878113	"Plant      "	"ns"	"Alanine, aspartate and glutamate metabolism"	"Kegg7"	"Metabolism"	"Amino acid metabolism"
1	3.82494302939567e-07	3.82494302939567e-07	5.27317691674634	0.0283522109882814	"sex        "	"*"	"Alanine, aspartate and glutamate metabolism"	"Kegg7"	"Metabolism"	"Amino acid metabolism"
7	9.11461542674419e-07	1.30208791810631e-07	1.79509600549981	0.122625391092605	"Plant:sex  "	"ns"	"Alanine, aspartate and glutamate metabolism"	"Kegg7"	"Metabolism"	"Amino acid metabolism"
32	2.32114679391762e-06	7.25358373099255e-08	NA	NA	"Residuals  "	NA	"Alanine, aspartate and glutamate metabolism"	"Kegg7"	"Metabolism"	"Amino acid metabolism"
7	4.88877313233606e-08	6.98396161762294e-09	3.93733733545465	0.00332427741601042	"Plant      "	"**"	"Alcoholic liver disease"	"Kegg8"	"Human Diseases"	"Endocrine and metabolic disease"
1	2.89499419104302e-09	2.89499419104302e-09	1.63210643734861	0.210603056725882	"sex        "	"ns"	"Alcoholic liver disease"	"Kegg8"	"Human Diseases"	"Endocrine and metabolic disease"
7	4.10370244152712e-08	5.86243205932445e-09	3.30505433556503	0.00925505427092565	"Plant:sex  "	"**"	"Alcoholic liver disease"	"Kegg8"	"Human Diseases"	"Endocrine and metabolic disease"
32	5.67608900948101e-08	1.77377781546282e-09	NA	NA	"Residuals  "	NA	"Alcoholic liver disease"	"Kegg8"	"Human Diseases"	"Endocrine and metabolic disease"
7	4.55050608475932e-10	6.5007229782276e-11	2.48463509540593	0.0371394866747197	"Plant      "	"*"	"Alcoholism"	"Kegg9"	"Human Diseases"	"Substance dependence"
1	1.7093859895428e-12	1.7093859895428e-12	0.065334277978589	0.799891192303562	"sex        "	"ns"	"Alcoholism"	"Kegg9"	"Human Diseases"	"Substance dependence"
7	1.29944766281079e-10	1.85635380401542e-11	0.709515207215391	0.664181058777518	"Plant:sex  "	"ns"	"Alcoholism"	"Kegg9"	"Human Diseases"	"Substance dependence"
32	8.37238175086219e-10	2.61636929714443e-11	NA	NA	"Residuals  "	NA	"Alcoholism"	"Kegg9"	"Human Diseases"	"Substance dependence"
7	3.79160426121869e-07	5.41657751602671e-08	3.04195133552983	0.0143552316768838	"Plant      "	"*"	"Alzheimer disease"	"Kegg10"	"Human Diseases"	"Neurodegenerative disease"
1	2.09407163952832e-08	2.09407163952832e-08	1.1760311749828	0.286268527320159	"sex        "	"ns"	"Alzheimer disease"	"Kegg10"	"Human Diseases"	"Neurodegenerative disease"
7	5.79716854134031e-08	8.28166934477188e-09	0.465098764841918	0.852328451625348	"Plant:sex  "	"ns"	"Alzheimer disease"	"Kegg10"	"Human Diseases"	"Neurodegenerative disease"
32	5.69800307086981e-07	1.78062595964681e-08	NA	NA	"Residuals  "	NA	"Alzheimer disease"	"Kegg10"	"Human Diseases"	"Neurodegenerative disease"
7	1.13000651792297e-05	1.61429502560425e-06	8.1526454748869	1.09682067556974e-05	"Plant      "	"***"	"Amino sugar and nucleotide sugar metabolism"	"Kegg11"	"Metabolism"	"Carbohydrate metabolism"
1	1.42370901534364e-07	1.42370901534364e-07	0.719013233479572	0.40276592548977	"sex        "	"ns"	"Amino sugar and nucleotide sugar metabolism"	"Kegg11"	"Metabolism"	"Carbohydrate metabolism"
7	4.41950480335823e-07	6.31357829051176e-08	0.318853522213006	0.939927022039235	"Plant:sex  "	"ns"	"Amino sugar and nucleotide sugar metabolism"	"Kegg11"	"Metabolism"	"Carbohydrate metabolism"
32	6.33627955225816e-06	1.98008736008068e-07	NA	NA	"Residuals  "	NA	"Amino sugar and nucleotide sugar metabolism"	"Kegg11"	"Metabolism"	"Carbohydrate metabolism"
7	1.65858260381665e-06	2.36940371973807e-07	0.95873837196024	0.477116589744696	"Plant      "	"ns"	"Aminoacyl-tRNA biosynthesis"	"Kegg12"	"Genetic Information Processing"	"Translation"
1	6.8648796419823e-08	6.8648796419823e-08	0.277775521192509	0.601797929107764	"sex        "	"ns"	"Aminoacyl-tRNA biosynthesis"	"Kegg12"	"Genetic Information Processing"	"Translation"
7	2.55424978333641e-06	3.64892826190915e-07	1.47647592180248	0.210867633612207	"Plant:sex  "	"ns"	"Aminoacyl-tRNA biosynthesis"	"Kegg12"	"Genetic Information Processing"	"Translation"
32	7.90840559313323e-06	2.47137674785413e-07	NA	NA	"Residuals  "	NA	"Aminoacyl-tRNA biosynthesis"	"Kegg12"	"Genetic Information Processing"	"Translation"
7	3.64430470132645e-07	5.2061495733235e-08	3.84084364769149	0.00387505578495779	"Plant      "	"**"	"Aminobenzoate degradation"	"Kegg13"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	1.65642668463072e-08	1.65642668463072e-08	1.22203095011524	0.277204745062791	"sex        "	"ns"	"Aminobenzoate degradation"	"Kegg13"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	6.97978481927877e-08	9.97112117039824e-09	0.735620766716425	0.643493234623599	"Plant:sex  "	"ns"	"Aminobenzoate degradation"	"Kegg13"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	4.33750502826335e-07	1.3554703213323e-08	NA	NA	"Residuals  "	NA	"Aminobenzoate degradation"	"Kegg13"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	7.45333978140364e-09	1.06476282591481e-09	2.14320770213378	0.0671004543603434	"Plant      "	"ns"	"Amoebiasis"	"Kegg14"	"Human Diseases"	"Infectious disease: parasitic"
1	3.66153481091904e-09	3.66153481091904e-09	7.37011982142633	0.0105971358787698	"sex        "	"*"	"Amoebiasis"	"Kegg14"	"Human Diseases"	"Infectious disease: parasitic"
7	4.79691700211784e-09	6.85273857445405e-10	1.37935338612716	0.247759963250632	"Plant:sex  "	"ns"	"Amoebiasis"	"Kegg14"	"Human Diseases"	"Infectious disease: parasitic"
32	1.58978574010122e-08	4.96808043781631e-10	NA	NA	"Residuals  "	NA	"Amoebiasis"	"Kegg14"	"Human Diseases"	"Infectious disease: parasitic"
7	1.73577775533468e-10	2.47968250762097e-11	1.33199105132852	0.267761485219941	"Plant      "	"ns"	"Amphetamine addiction"	"Kegg15"	"Human Diseases"	"Substance dependence"
1	1.94707050647804e-11	1.94707050647804e-11	1.04589215875973	0.314124637856326	"sex        "	"ns"	"Amphetamine addiction"	"Kegg15"	"Human Diseases"	"Substance dependence"
7	1.41798724400845e-10	2.02569606286922e-11	1.08812681468722	0.393832718150835	"Plant:sex  "	"ns"	"Amphetamine addiction"	"Kegg15"	"Human Diseases"	"Substance dependence"
32	5.95723523553165e-10	1.86163601110364e-11	NA	NA	"Residuals  "	NA	"Amphetamine addiction"	"Kegg15"	"Human Diseases"	"Substance dependence"
7	2.53901111391764e-07	3.62715873416806e-08	2.31097400586816	0.0501533844706639	"Plant      "	"ns"	"Amyotrophic lateral sclerosis"	"Kegg16"	"Human Diseases"	"Neurodegenerative disease"
1	1.11675503612999e-07	1.11675503612999e-07	7.11518863265496	0.0118921032941162	"sex        "	"*"	"Amyotrophic lateral sclerosis"	"Kegg16"	"Human Diseases"	"Neurodegenerative disease"
7	6.49805862251613e-08	9.28294088930875e-09	0.591444617273515	0.757907744480827	"Plant:sex  "	"ns"	"Amyotrophic lateral sclerosis"	"Kegg16"	"Human Diseases"	"Neurodegenerative disease"
32	5.02251774354228e-07	1.56953679485696e-08	NA	NA	"Residuals  "	NA	"Amyotrophic lateral sclerosis"	"Kegg16"	"Human Diseases"	"Neurodegenerative disease"
7	1.02935435369988e-07	1.47050621957126e-08	2.90847754370685	0.0179827331612894	"Plant      "	"*"	"Antifolate resistance"	"Kegg17"	"Human Diseases"	"Drug resistance: antineoplastic"
1	6.64593315070971e-11	6.64593315070971e-11	0.0131448252775509	0.909438227072662	"sex        "	"ns"	"Antifolate resistance"	"Kegg17"	"Human Diseases"	"Drug resistance: antineoplastic"
7	2.56172050743618e-08	3.65960072490882e-09	0.723823291984031	0.652827306711904	"Plant:sex  "	"ns"	"Antifolate resistance"	"Kegg17"	"Human Diseases"	"Drug resistance: antineoplastic"
32	1.61789796617468e-07	5.05593114429587e-09	NA	NA	"Residuals  "	NA	"Antifolate resistance"	"Kegg17"	"Human Diseases"	"Drug resistance: antineoplastic"
7	5.71912509116359e-08	8.17017870166227e-09	5.11804240451322	0.000556064638396739	"Plant      "	"***"	"Antigen processing and presentation"	"Kegg18"	"Organismal Systems"	"Immune system"
1	5.09340629017895e-09	5.09340629017895e-09	3.19066085681168	0.0835391802344844	"sex        "	"ns"	"Antigen processing and presentation"	"Kegg18"	"Organismal Systems"	"Immune system"
7	1.36055945087866e-08	1.94365635839809e-09	1.21756402464725	0.321949429599967	"Plant:sex  "	"ns"	"Antigen processing and presentation"	"Kegg18"	"Organismal Systems"	"Immune system"
32	5.10831481627904e-08	1.5963483800872e-09	NA	NA	"Residuals  "	NA	"Antigen processing and presentation"	"Kegg18"	"Organismal Systems"	"Immune system"
7	2.33627366733878e-08	3.33753381048397e-09	3.07776055264037	0.0135171602882987	"Plant      "	"*"	"Apoptosis"	"Kegg19"	"Cellular Processes"	"Cell growth and death"
1	7.6840942967572e-11	7.6840942967572e-11	0.0708601130422666	0.791796287678679	"sex        "	"ns"	"Apoptosis"	"Kegg19"	"Cellular Processes"	"Cell growth and death"
7	2.73440618917804e-09	3.90629455596863e-10	0.360225243369464	0.918473590464783	"Plant:sex  "	"ns"	"Apoptosis"	"Kegg19"	"Cellular Processes"	"Cell growth and death"
32	3.47009067498328e-08	1.08440333593227e-09	NA	NA	"Residuals  "	NA	"Apoptosis"	"Kegg19"	"Cellular Processes"	"Cell growth and death"
7	9.65762042738244e-08	1.37966006105463e-08	2.43171158772811	0.0406941807773791	"Plant      "	"*"	"Apoptosis - fly"	"Kegg20"	"Cellular Processes"	"Cell growth and death"
1	6.43000085087743e-09	6.43000085087743e-09	1.13331595365803	0.295036483789457	"sex        "	"ns"	"Apoptosis - fly"	"Kegg20"	"Cellular Processes"	"Cell growth and death"
7	8.16554982076913e-09	1.16650711725273e-09	0.205602014167348	0.981786746854646	"Plant:sex  "	"ns"	"Apoptosis - fly"	"Kegg20"	"Cellular Processes"	"Cell growth and death"
32	1.81555749360045e-07	5.67361716750141e-09	NA	NA	"Residuals  "	NA	"Apoptosis - fly"	"Kegg20"	"Cellular Processes"	"Cell growth and death"
7	2.20089798200083e-08	3.14413997428689e-09	2.95839717305484	0.0165263279364135	"Plant      "	"*"	"Apoptosis - multiple species"	"Kegg21"	"Cellular Processes"	"Cell growth and death"
1	4.15912071223432e-10	4.15912071223432e-10	0.391341704189189	0.536031412407609	"sex        "	"ns"	"Apoptosis - multiple species"	"Kegg21"	"Cellular Processes"	"Cell growth and death"
7	2.31334654791472e-09	3.30478078273532e-10	0.310954798614765	0.943671919236067	"Plant:sex  "	"ns"	"Apoptosis - multiple species"	"Kegg21"	"Cellular Processes"	"Cell growth and death"
32	3.40091182122407e-08	1.06278494413252e-09	NA	NA	"Residuals  "	NA	"Apoptosis - multiple species"	"Kegg21"	"Cellular Processes"	"Cell growth and death"
7	3.58825415919011e-08	5.12607737027159e-09	1.63736245673672	0.160688180982456	"Plant      "	"ns"	"Arabinogalactan biosynthesis - Mycobacterium"	"Kegg22"	"Metabolism"	"Glycan biosynthesis and metabolism"
1	7.11740664384051e-10	7.11740664384051e-10	0.227342928835574	0.636741111573481	"sex        "	"ns"	"Arabinogalactan biosynthesis - Mycobacterium"	"Kegg22"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	1.42067315245671e-08	2.02953307493816e-09	0.648269821458649	0.712961698886424	"Plant:sex  "	"ns"	"Arabinogalactan biosynthesis - Mycobacterium"	"Kegg22"	"Metabolism"	"Glycan biosynthesis and metabolism"
32	1.00182140596782e-07	3.13069189364944e-09	NA	NA	"Residuals  "	NA	"Arabinogalactan biosynthesis - Mycobacterium"	"Kegg22"	"Metabolism"	"Glycan biosynthesis and metabolism"
7	1.11713738864193e-07	1.59591055520275e-08	3.73436096990601	0.0045951028656145	"Plant      "	"**"	"Arachidonic acid metabolism"	"Kegg23"	"Metabolism"	"Lipid metabolism"
1	2.81546890596208e-08	2.81546890596208e-08	6.58807422517047	0.0151474774256254	"sex        "	"*"	"Arachidonic acid metabolism"	"Kegg23"	"Metabolism"	"Lipid metabolism"
7	2.31780493779058e-08	3.31114991112939e-09	0.774794611973629	0.612743257228883	"Plant:sex  "	"ns"	"Arachidonic acid metabolism"	"Kegg23"	"Metabolism"	"Lipid metabolism"
32	1.36754690234922e-07	4.27358406984133e-09	NA	NA	"Residuals  "	NA	"Arachidonic acid metabolism"	"Kegg23"	"Metabolism"	"Lipid metabolism"
7	9.91442514386996e-07	1.41634644912428e-07	2.0337859294586	0.0811373705896716	"Plant      "	"ns"	"Arginine and proline metabolism"	"Kegg24"	"Metabolism"	"Amino acid metabolism"
1	1.00595985695545e-08	1.00595985695545e-08	0.14444961569545	0.706407969087884	"sex        "	"ns"	"Arginine and proline metabolism"	"Kegg24"	"Metabolism"	"Amino acid metabolism"
7	1.92162631875056e-07	2.74518045535794e-08	0.39419094017454	0.898729313354155	"Plant:sex  "	"ns"	"Arginine and proline metabolism"	"Kegg24"	"Metabolism"	"Amino acid metabolism"
32	2.22850820804145e-06	6.96408815012953e-08	NA	NA	"Residuals  "	NA	"Arginine and proline metabolism"	"Kegg24"	"Metabolism"	"Amino acid metabolism"
7	9.22622581011115e-07	1.31803225858731e-07	3.23261922244743	0.0104364300256351	"Plant      "	"*"	"Arginine biosynthesis"	"Kegg25"	"Metabolism"	"Amino acid metabolism"
1	6.35319844647695e-08	6.35319844647695e-08	1.55819186429602	0.220986542614808	"sex        "	"ns"	"Arginine biosynthesis"	"Kegg25"	"Metabolism"	"Amino acid metabolism"
7	8.79759885977742e-07	1.25679983711106e-07	3.0824399674167	0.0134114467107862	"Plant:sex  "	"*"	"Arginine biosynthesis"	"Kegg25"	"Metabolism"	"Amino acid metabolism"
32	1.30473245911287e-06	4.07728893472773e-08	NA	NA	"Residuals  "	NA	"Arginine biosynthesis"	"Kegg25"	"Metabolism"	"Amino acid metabolism"
7	1.64028613928873e-06	2.34326591326962e-07	1.63683958054436	0.160831374378712	"Plant      "	"ns"	"Ascorbate and aldarate metabolism"	"Kegg26"	"Metabolism"	"Carbohydrate metabolism"
1	3.14529032260042e-08	3.14529032260042e-08	0.219707702108461	0.64244031440855	"sex        "	"ns"	"Ascorbate and aldarate metabolism"	"Kegg26"	"Metabolism"	"Carbohydrate metabolism"
7	1.43701311856236e-06	2.05287588366051e-07	1.43399367578898	0.226345470658716	"Plant:sex  "	"ns"	"Ascorbate and aldarate metabolism"	"Kegg26"	"Metabolism"	"Carbohydrate metabolism"
32	4.58105425332458e-06	1.43157945416393e-07	NA	NA	"Residuals  "	NA	"Ascorbate and aldarate metabolism"	"Kegg26"	"Metabolism"	"Carbohydrate metabolism"
7	7.09527897455476e-08	1.01361128207925e-08	4.15503975006239	0.00236165251239479	"Plant      "	"**"	"Atrazine degradation"	"Kegg27"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	4.38138495241576e-11	4.38138495241576e-11	0.0179603650427692	0.894229025317154	"sex        "	"ns"	"Atrazine degradation"	"Kegg27"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.2046660167601e-08	3.14952288108585e-09	1.29106621009567	0.286167712857789	"Plant:sex  "	"ns"	"Atrazine degradation"	"Kegg27"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	7.80631786399853e-08	2.43947433249954e-09	NA	NA	"Residuals  "	NA	"Atrazine degradation"	"Kegg27"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	3.23627968805788e-10	4.62325669722555e-11	3.37032821209446	0.00830945794142228	"Plant      "	"**"	"Autophagy - yeast"	"Kegg28"	"Cellular Processes"	"Transport and catabolism"
1	1.82726045841155e-14	1.82726045841155e-14	0.00133206262968804	0.971112458054314	"sex        "	"ns"	"Autophagy - yeast"	"Kegg28"	"Cellular Processes"	"Transport and catabolism"
7	1.52634127297782e-10	2.18048753282546e-11	1.58956318657627	0.174288432493285	"Plant:sex  "	"ns"	"Autophagy - yeast"	"Kegg28"	"Cellular Processes"	"Transport and catabolism"
32	4.38960851884745e-10	1.37175266213983e-11	NA	NA	"Residuals  "	NA	"Autophagy - yeast"	"Kegg28"	"Cellular Processes"	"Transport and catabolism"
7	1.77404726323448e-10	2.53435323319212e-11	1.38188878755727	0.246727554573531	"Plant      "	"ns"	"Axon regeneration"	"Kegg29"	"Organismal Systems"	"Development and regeneration"
1	2.22464445773738e-11	2.22464445773738e-11	1.21301608323028	0.278951190645787	"sex        "	"ns"	"Axon regeneration"	"Kegg29"	"Organismal Systems"	"Development and regeneration"
7	1.45201013643922e-10	2.07430019491317e-11	1.13103893484018	0.368725776040783	"Plant:sex  "	"ns"	"Axon regeneration"	"Kegg29"	"Organismal Systems"	"Development and regeneration"
32	5.86872866994636e-10	1.83397770935824e-11	NA	NA	"Residuals  "	NA	"Axon regeneration"	"Kegg29"	"Organismal Systems"	"Development and regeneration"
7	1.18944383688493e-06	1.69920548126419e-07	0.641705719626652	0.718184544985923	"Plant      "	"ns"	"Bacterial chemotaxis"	"Kegg30"	"Cellular Processes"	"Cell motility"
1	2.16384118530086e-06	2.16384118530086e-06	8.17175603705217	0.00742550100656935	"sex        "	"**"	"Bacterial chemotaxis"	"Kegg30"	"Cellular Processes"	"Cell motility"
7	2.02484988746381e-06	2.89264269637687e-07	1.09240782446175	0.391270964893545	"Plant:sex  "	"ns"	"Bacterial chemotaxis"	"Kegg30"	"Cellular Processes"	"Cell motility"
32	8.47344409398276e-06	2.64795127936961e-07	NA	NA	"Residuals  "	NA	"Bacterial chemotaxis"	"Kegg30"	"Cellular Processes"	"Cell motility"
7	7.14573906500855e-08	1.02081986642979e-08	2.98179341620351	0.0158862007052627	"Plant      "	"*"	"Bacterial invasion of epithelial cells"	"Kegg31"	"Human Diseases"	"Infectious disease: bacterial"
1	1.35153010875986e-08	1.35153010875986e-08	3.94779109677341	0.0555508238340578	"sex        "	"ns"	"Bacterial invasion of epithelial cells"	"Kegg31"	"Human Diseases"	"Infectious disease: bacterial"
7	3.11876040774666e-08	4.45537201106665e-09	1.30140481844253	0.281417448783312	"Plant:sex  "	"ns"	"Bacterial invasion of epithelial cells"	"Kegg31"	"Human Diseases"	"Infectious disease: bacterial"
32	1.09552310191042e-07	3.42350969347006e-09	NA	NA	"Residuals  "	NA	"Bacterial invasion of epithelial cells"	"Kegg31"	"Human Diseases"	"Infectious disease: bacterial"
7	8.12954057489778e-05	1.16136293927111e-05	0.701719702192988	0.670379132822287	"Plant      "	"ns"	"Bacterial secretion system"	"Kegg32"	"Environmental Information Processing"	"Membrane transport"
1	0.000137322265412804	0.000137322265412804	8.29729759160539	0.00702954501242981	"sex        "	"**"	"Bacterial secretion system"	"Kegg32"	"Environmental Information Processing"	"Membrane transport"
7	9.94379742662224e-05	1.42054248951746e-05	0.85832139031602	0.549028088818659	"Plant:sex  "	"ns"	"Bacterial secretion system"	"Kegg32"	"Environmental Information Processing"	"Membrane transport"
32	0.000529607675835996	1.65502398698749e-05	NA	NA	"Residuals  "	NA	"Bacterial secretion system"	"Kegg32"	"Environmental Information Processing"	"Membrane transport"
7	1.55437530744579e-08	2.22053615349398e-09	5.46899697666859	0.00033695446794273	"Plant      "	"***"	"Basal cell carcinoma"	"Kegg33"	"Human Diseases"	"Cancer: specific types"
1	3.49959245134398e-09	3.49959245134398e-09	8.61920690003496	0.00611457064514175	"sex        "	"**"	"Basal cell carcinoma"	"Kegg33"	"Human Diseases"	"Cancer: specific types"
7	2.43240730938038e-09	3.47486758482911e-10	0.855831159778754	0.550882216516926	"Plant:sex  "	"ns"	"Basal cell carcinoma"	"Kegg33"	"Human Diseases"	"Cancer: specific types"
32	1.29927219223097e-08	4.06022560072178e-10	NA	NA	"Residuals  "	NA	"Basal cell carcinoma"	"Kegg33"	"Human Diseases"	"Cancer: specific types"
7	6.03700144230697e-09	8.62428777472425e-10	1.92860409782463	0.0973677768498226	"Plant      "	"ns"	"Basal transcription factors"	"Kegg34"	"Genetic Information Processing"	"Transcription"
1	2.53697334300872e-09	2.53697334300872e-09	5.67330000250937	0.023339591277734	"sex        "	"*"	"Basal transcription factors"	"Kegg34"	"Genetic Information Processing"	"Transcription"
7	7.71401710466331e-09	1.10200244352333e-09	2.46435008189393	0.0384630447965755	"Plant:sex  "	"*"	"Basal transcription factors"	"Kegg34"	"Genetic Information Processing"	"Transcription"
32	1.43096869441719e-08	4.47177717005373e-10	NA	NA	"Residuals  "	NA	"Basal transcription factors"	"Kegg34"	"Genetic Information Processing"	"Transcription"
7	1.85529958719336e-07	2.65042798170479e-08	2.11602317369375	0.0703434882205707	"Plant      "	"ns"	"Base excision repair"	"Kegg35"	"Genetic Information Processing"	"Replication and repair"
1	2.32119261353528e-09	2.32119261353528e-09	0.185317141033507	0.669728674704348	"sex        "	"ns"	"Base excision repair"	"Kegg35"	"Genetic Information Processing"	"Replication and repair"
7	2.47219364269598e-07	3.53170520385141e-08	2.81960879736772	0.0209118862569269	"Plant:sex  "	"*"	"Base excision repair"	"Kegg35"	"Genetic Information Processing"	"Replication and repair"
32	4.00816477196238e-07	1.25255149123825e-08	NA	NA	"Residuals  "	NA	"Base excision repair"	"Kegg35"	"Genetic Information Processing"	"Replication and repair"
7	4.47087142746309e-06	6.38695918209013e-07	13.5370055187959	5.50983153692669e-08	"Plant      "	"***"	"Benzoate degradation"	"Kegg36"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
1	1.02097227367784e-06	1.02097227367784e-06	21.6392604199978	5.45136095260574e-05	"sex        "	"***"	"Benzoate degradation"	"Kegg36"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	1.4323965315989e-06	2.04628075942699e-07	4.33704258061408	0.0017821011891831	"Plant:sex  "	"**"	"Benzoate degradation"	"Kegg36"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
32	1.50980727268747e-06	4.71814772714835e-08	NA	NA	"Residuals  "	NA	"Benzoate degradation"	"Kegg36"	"Metabolism"	"Xenobiotics biodegradation and metabolism"
7	2.50986652564606e-08	3.5855236080658e-09	2.25709449273326	0.0550651382777929	"Plant      "	"ns"	"Betalain biosynthesis"	"Kegg37"	"Metabolism"	"Biosynthesis of other secondary metabolites"
1	1.04598483401043e-08	1.04598483401043e-08	6.58449606360571	0.0151726361192308	"sex        "	"*"	"Betalain biosynthesis"	"Kegg37"	"Metabolism"	"Biosynthesis of other secondary metabolites"
7	1.77303185194733e-08	2.53290264563904e-09	1.59446742987293	0.172844656047292	"Plant:sex  "	"ns"	"Betalain biosynthesis"	"Kegg37"	"Metabolism"	"Biosynthesis of other secondary metabolites"
32	5.0833828990103e-08	1.58855715594072e-09	NA	NA	"Residuals  "	NA	"Betalain biosynthesis"	"Kegg37"	"Metabolism"	"Biosynthesis of other secondary metabolites"
